panel	AA_ccd	AB_ccd	BB_ccd	NR_ccd
OKG	0.990947972	0.921465563	0.961645112	0.937759814
OKG	0.992536222	0.93277557	0.9703885	0.948117076
OKG	0.992219637	0.928411953	0.962018107	0.941445546
OKG	0.992788837	0.929024033	0.968821213	0.944635711
OKG	0.991822704	0.921676387	0.968000749	0.939985485
OKG	0.991311176	0.928031404	0.959181001	0.940219948
OKG	0.992152065	0.927416872	0.966134727	0.942738412
OKG	0.992041492	0.926698446	0.960088692	0.94052847
OKG	0.990030958	0.923997658	0.953099246	0.935847589
OKG	0.992572824	0.931682356	0.96637865	0.945559777
OKG	0.992700233	0.922108172	0.964238045	0.939253037
OKG	0.992041171	0.924452521	0.966319468	0.941440899
OKG	0.992386788	0.928886943	0.960994626	0.941858677
OKG	0.991083841	0.923687907	0.964073547	0.939375523
OKG	0.99053902	0.918616106	0.954791214	0.93231056
OKG	0.991356443	0.925905776	0.963073092	0.939962605
OKG	0.993017746	0.933498373	0.970876151	0.948233056
OKG	0.992821336	0.929557878	0.967709839	0.944272616
OKG	0.993561834	0.935571708	0.972795319	0.949933058
OKG	0.992901324	0.929216061	0.969028707	0.945024947
OKG	0.992471433	0.926135206	0.964991013	0.941329695
OKG	0.992217311	0.930219029	0.96671405	0.945136265
OKG	0.992607479	0.931898475	0.966858203	0.946109987
OKG	0.992136318	0.929496877	0.965774188	0.944147209
OKG	0.992802469	0.935509578	0.966980037	0.947881116
OKG	0.992798246	0.936067374	0.96969037	0.949177892
OKG	0.992977049	0.930854415	0.965713223	0.944625557
OKG	0.992301766	0.930625587	0.969986195	0.945859799
OKG	0.992537437	0.931654315	0.966400944	0.945568776
OKG	0.990961494	0.926055453	0.958624588	0.939253429
OKG	0.992705776	0.923951014	0.96733065	0.941805865
OKG	0.991838534	0.926010763	0.965072694	0.941967724
OKG	0.992388606	0.924843377	0.965031557	0.940672196
OKG	0.99184804	0.931332913	0.969045483	0.946438445
OKG	0.991520713	0.935175467	0.960830461	0.945124024
OKG	0.991623887	0.932993733	0.95790845	0.942860225
OKG	0.991880419	0.920704257	0.963347165	0.938159256
OKG	0.991030036	0.928966961	0.959159319	0.941073444
OKG	0.992726162	0.929334135	0.964215384	0.942815386
OKG	0.991386201	0.930269341	0.953991773	0.939835052
OKG	0.991713937	0.927599471	0.965232354	0.942044124
OKG	0.991949728	0.923186366	0.963826914	0.939597034
OKG	0.989919169	0.929009855	0.959262995	0.940184453
OKG	0.990404072	0.919183706	0.956580609	0.934590216
OKG	0.989737087	0.925793761	0.957270951	0.938660339
OKG	0.991385872	0.929705516	0.958950838	0.941501576
OKG	0.992848878	0.924130433	0.962474608	0.93881544
OKG	0.991637751	0.922904386	0.961037909	0.938089951
OKG	0.99039633	0.918726176	0.953773076	0.932921587
OKG	0.991584041	0.928264572	0.963121288	0.941991378
OKG	0.990338174	0.931524012	0.952880766	0.939806408
OKG	0.991704923	0.92865093	0.957004763	0.939912403
OKG	0.990706908	0.927924196	0.960522503	0.940448526
OKG	0.991706762	0.926038231	0.957897612	0.939010095
OKG	0.991229738	0.930425196	0.958563368	0.941218908
OKG	0.99087449	0.920893567	0.962657008	0.937728731
OKG	0.99205927	0.924240592	0.965388384	0.941294237
OKG	0.992396894	0.928520137	0.963657304	0.9427977
OKG	0.991146468	0.924610117	0.962091657	0.939261566
