	Anhui	Chongqing	Fujian	Gansu	Guangdong	Guangxi	Guizhou	Hainan	Hebei	Heilongjiang	Henan	Hubei	Hunan	InnerMongolia	Jiangsu	Jiangxi	Jilin	Liaoning	Ningxia	Qinghai	Shaanxi	Shandong	Shanxi	Sichuan	Yunnan	Zhejiang	Tianjin
Henan	0.4429454326198372	0.3539420081476156	0.350803738317757	0.4276310442909386	0.25945705384957723	0.21062229313881925	0.39466276320234206	0.25345794392523363	0.49493769470404986	0.49182242990654207	0.46288132604478927	0.356839422259983	0.1891588785046729	0.45841121495327103	0.46172674677347575	0.36853582554517134	0.48617203890902155	0.5311526479750779	0.42205607476635515	0.3598130841121495	0.406146047837795	0.5713395638629284	0.47609109881136014	0.35522145469321414	0.3697960917587086	0.4143951194184839	0.5490654205607477
Hubei	0.37267839687194526	0.38461538461538464	0.36848484848484847	0.3217391304347826	0.31457431457431456	0.28159645232815966	0.370938298649142	0.31757575757575757	0.3400673400673401	0.35669191919191917	0.356839422259983	0.35984848484848486	0.20666666666666667	0.3303030303030303	0.36363636363636365	0.4177777777777778	0.33147804576376005	0.36363636363636365	0.3278787878787879	0.28354978354978355	0.31124807395993837	0.41858585858585856	0.35157399235069137	0.36021080368906455	0.340564738292011	0.38952020202020204	0.3712121212121212
Hunan	0.1952688172043011	0.25145299145299144	0.25093333333333334	0.16742028985507246	0.24	0.22617886178861787	0.2733333333333333	0.2096	0.1825	0.1738888888888889	0.1891588785046729	0.20666666666666667	0.1869351230425056	0.16866666666666666	0.19634920634920636	0.2563111111111111	0.1729251700680272	0.18925925925925927	0.16893333333333332	0.14761904761904762	0.16576271186440678	0.20266666666666666	0.17255663430420712	0.25855072463768114	0.2203030303030303	0.22074074074074074	0.20083333333333334
InnerMongolia	0.4012096774193548	0.3314102564102564	0.295	0.40217391304347827	0.23809523809523808	0.1823170731707317	0.34186746987951805	0.219	0.49236111111111114	0.4734375	0.45841121495327103	0.3303030303030303	0.16866666666666666	0.4846153846153846	0.4232142857142857	0.3325	0.5122448979591837	0.5222222222222223	0.402	0.3580357142857143	0.3834745762711864	0.5525	0.45849514563106797	0.3282608695652174	0.3482954545454545	0.38263888888888886	0.4796875
Jiangsu	0.4400921658986175	0.35653235653235654	0.3565714285714286	0.37908902691511387	0.27607709750566894	0.22415795586527293	0.4044750430292599	0.2914285714285714	0.46593915343915343	0.4885912698412698	0.46172674677347575	0.36363636363636365	0.19634920634920636	0.4232142857142857	0.47038327526132406	0.3892063492063492	0.4684159378036929	0.5079365079365079	0.39	0.3273809523809524	0.3922518159806295	0.5366666666666666	0.44244105409153955	0.35175983436853003	0.3482142857142857	0.45519179894179895	0.49702380952380953
Jiangxi	0.38	0.42786324786324786	0.54064	0.3064927536231884	0.4276190476190476	0.363739837398374	0.45140562248995986	0.43146666666666667	0.35518518518518516	0.35583333333333333	0.36853582554517134	0.4177777777777778	0.2563111111111111	0.3325	0.3892063492063492	0.5304697986577182	0.36829931972789115	0.3940740740740741	0.30546666666666666	0.2816666666666667	0.3249717514124294	0.40715555555555555	0.32537216828478965	0.4302608695652174	0.3681060606060606	0.4662962962962963	0.42375
Jilin	0.4328505595786702	0.35478806907378335	0.33861224489795916	0.4275066548358474	0.24975704567541301	0.18068690890990544	0.377182198180477	0.20653061224489797	0.49489795918367346	0.5374149659863946	0.48617203890902155	0.33147804576376005	0.1729251700680272	0.5122448979591837	0.4684159378036929	0.36829931972789115	0.5	0.5430839002267573	0.4085714285714286	0.3943148688046647	0.42960913178830856	0.5936054421768707	0.46780265504259955	0.34250221827861577	0.35644712430426717	0.40107709750566894	0.5599489795918368
Liaoning	0.5156810035842294	0.4045584045584046	0.37244444444444447	0.4434782608695652	0.25396825396825395	0.23170731707317074	0.42971887550200805	0.24666666666666667	0.5802469135802469	0.6145833333333334	0.5311526479750779	0.36363636363636365	0.18925925925925927	0.5222222222222223	0.5079365079365079	0.3940740740740741	0.5430839002267573	0.6209150326797386	0.4866666666666667	0.4246031746031746	0.4689265536723164	0.6581481481481481	0.5377562028047465	0.39710144927536234	0.4034090909090909	0.4540895061728395	0.7083333333333334
Ningxia	0.38016129032258067	0.3251282051282051	0.292	0.4062608695652174	0.22285714285714286	0.19317073170731708	0.3653012048192771	0.232	0.4266666666666667	0.41625	0.42205607476635515	0.3278787878787879	0.16893333333333332	0.402	0.39	0.30546666666666666	0.4085714285714286	0.4866666666666667	0.4114285714285714	0.3757142857142857	0.3959322033898305	0.47546666666666665	0.41184466019417476	0.3396521739130435	0.3375	0.3663888888888889	0.43
Qinghai	0.33986175115207373	0.34798534798534797	0.2634285714285714	0.39751552795031053	0.20578231292517007	0.1794425087108014	0.3420826161790017	0.17714285714285713	0.37103174603174605	0.40327380952380953	0.3598130841121495	0.28354978354978355	0.14761904761904762	0.3580357142857143	0.3273809523809524	0.2816666666666667	0.3943148688046647	0.4246031746031746	0.3757142857142857	0.5158730158730159	0.37469733656174337	0.4430952380952381	0.3685852981969487	0.3027950310559006	0.330762987012987	0.31572420634920634	0.43973214285714285
Shaanxi	0.39283761618370694	0.32637983485441113	0.29735593220338985	0.3992630803242447	0.23890234059725585	0.23232740801984292	0.3857463753318358	0.21491525423728813	0.4194915254237288	0.4170197740112994	0.406146047837795	0.31124807395993837	0.16576271186440678	0.3834745762711864	0.3922518159806295	0.3249717514124294	0.42960913178830856	0.4689265536723164	0.3959322033898305	0.37469733656174337	0.39099941554646406	0.49005649717514127	0.42685535626131316	0.3630066322770818	0.35400616332819723	0.3634651600753296	0.5010593220338984
Shandong	0.5187634408602151	0.4076923076923077	0.38544	0.4787246376811594	0.2671428571428571	0.21821138211382113	0.4242570281124498	0.28053333333333336	0.5899074074074074	0.60625	0.5713395638629284	0.41858585858585856	0.20266666666666666	0.5525	0.5366666666666666	0.40715555555555555	0.5936054421768707	0.6581481481481481	0.47546666666666665	0.4430952380952381	0.49005649717514127	0.7014765100671141	0.5672491909385113	0.3958260869565217	0.4240909090909091	0.4746296296296296	0.69125
Shanxi	0.41943313498277485	0.3266118994274334	0.3029126213592233	0.4178134233853947	0.22376329172445678	0.19677954061094008	0.35980816469762544	0.22990291262135923	0.5031014023732471	0.4967637540453074	0.47609109881136014	0.35157399235069137	0.17255663430420712	0.45849514563106797	0.44244105409153955	0.32537216828478965	0.46780265504259955	0.5377562028047465	0.41184466019417476	0.3685852981969487	0.42685535626131316	0.5672491909385113	0.4926708547496669	0.3347403967918953	0.3401368049426302	0.37614617044228693	0.524878640776699
Sichuan	0.3568022440392707	0.47959866220735786	0.43109565217391305	0.3544045368620038	0.38923395445134573	0.44475079533404027	0.6091147197485595	0.4132173913043478	0.3468599033816425	0.3431159420289855	0.35522145469321414	0.36021080368906455	0.25855072463768114	0.3282608695652174	0.35175983436853003	0.4302608695652174	0.34250221827861577	0.39710144927536234	0.3396521739130435	0.3027950310559006	0.3630066322770818	0.3958260869565217	0.3347403967918953	0.4971777269260107	0.4490118577075099	0.3988526570048309	0.39021739130434785
Yunnan	0.35199780058651026	0.45104895104895104	0.369	0.3575098814229249	0.29924242424242425	0.3531042128603104	0.5602409638554217	0.3440909090909091	0.369949494949495	0.36742424242424243	0.3697960917587086	0.340564738292011	0.2203030303030303	0.3482954545454545	0.3482142857142857	0.3681060606060606	0.35644712430426717	0.4034090909090909	0.3375	0.330762987012987	0.35400616332819723	0.4240909090909091	0.3401368049426302	0.4490118577075099	0.5838557993730408	0.3824968434343434	0.4005681818181818
Zhejiang	0.4336917562724014	0.38977920227920226	0.6197222222222222	0.34830917874396133	0.3880621693121693	0.32113821138211385	0.4276271753681392	0.4222222222222222	0.3900462962962963	0.41116898148148145	0.4143951194184839	0.38952020202020204	0.22074074074074074	0.38263888888888886	0.45519179894179895	0.4662962962962963	0.40107709750566894	0.4540895061728395	0.3663888888888889	0.31572420634920634	0.3634651600753296	0.4746296296296296	0.37614617044228693	0.3988526570048309	0.3824968434343434	0.5947940947940948	0.4605034722222222
Tianjin	0.5120967741935484	0.391025641025641	0.351	0.48967391304347824	0.27380952380952384	0.22865853658536586	0.40436746987951805	0.245	0.5581597222222222	0.5442708333333334	0.5490654205607477	0.3712121212121212	0.20083333333333334	0.4796875	0.49702380952380953	0.42375	0.5599489795918368	0.7083333333333334	0.43	0.43973214285714285	0.5010593220338984	0.69125	0.524878640776699	0.39021739130434785	0.4005681818181818	0.4605034722222222	0.7666666666666667
