depth	Genotype_Concordance	Class
18.8	0.998399823	after beagle phasing
18.81	0.998967888	after beagle phasing
18.89	0.999105555	after beagle phasing
18.95	0.999038645	after beagle phasing
19.01	0.999139212	after beagle phasing
19.09	0.999167656	after beagle phasing
19.09	0.999144177	after beagle phasing
19.22	0.998833343	after beagle phasing
19.32	0.999038742	after beagle phasing
19.4	0.998612126	after beagle phasing
19.45	0.998721421	after beagle phasing
19.59	0.9991563	after beagle phasing
19.71	0.999237798	after beagle phasing
19.73	0.999208328	after beagle phasing
19.76	0.998669977	after beagle phasing
19.88	0.998643715	after beagle phasing
19.99	0.999053116	after beagle phasing
20.01	0.998886555	after beagle phasing
20.22	0.998945714	after beagle phasing
20.38	0.999190009	after beagle phasing
20.41	0.998268924	after beagle phasing
20.42	0.999366613	after beagle phasing
20.57	0.999441313	after beagle phasing
20.64	0.999291771	after beagle phasing
20.8	0.999373306	after beagle phasing
20.93	0.999269112	after beagle phasing
21.06	0.998489409	after beagle phasing
21.1	0.999104222	after beagle phasing
21.14	0.998924561	after beagle phasing
21.27	0.999495366	after beagle phasing
21.31	0.999469603	after beagle phasing
21.6	0.997856416	after beagle phasing
21.76	0.999025878	after beagle phasing
21.85	0.999525442	after beagle phasing
22.12	0.999039856	after beagle phasing
22.13	0.999420517	after beagle phasing
22.15	0.999390311	after beagle phasing
22.28	0.999267659	after beagle phasing
22.38	0.999522792	after beagle phasing
22.45	0.999022089	after beagle phasing
23.01	0.999556933	after beagle phasing
23.06	0.999494687	after beagle phasing
23.25	0.999496004	after beagle phasing
23.36	0.999579256	after beagle phasing
23.38	0.999521814	after beagle phasing
23.53	0.999652606	after beagle phasing
23.72	0.999590397	after beagle phasing
24.41	0.999591955	after beagle phasing
25.32	0.99945275	after beagle phasing
25.44	0.999442527	after beagle phasing
32.99	0.999849317	after beagle phasing
35.44	0.999792454	after beagle phasing
36.09	0.999889283	after beagle phasing
36.7	0.999818126	after beagle phasing
39.97	0.999876376	after beagle phasing
41.12	0.999877187	after beagle phasing
41.78	0.999903698	after beagle phasing
41.8	0.999856891	after beagle phasing
42.01	0.999865353	after beagle phasing
42.21	0.999825444	after beagle phasing
42.34	0.999838806	after beagle phasing
42.54	0.999811366	after beagle phasing
42.72	0.999874238	after beagle phasing
43.53	0.999877964	after beagle phasing
43.63	0.999863953	after beagle phasing
44.55	0.999107839	after beagle phasing
44.67	0.999862354	after beagle phasing
46.96	0.999860572	after beagle phasing
47.84	0.99984321	after beagle phasing
49.65	0.999861263	after beagle phasing
50.42	0.999870488	after beagle phasing
54.67	0.999820632	after beagle phasing
