depth	Heterozygote_Discordance	Class
13.4	0.013728221	Post-genotype refinement
13.42	0.013111664	Post-genotype refinement
13.48	0.018155233	Post-genotype refinement
13.53	0.016898258	Post-genotype refinement
13.53	0.013340135	Post-genotype refinement
13.53	0.018437125	Post-genotype refinement
13.57	0.014589656	Post-genotype refinement
13.63	0.015971158	Post-genotype refinement
13.69	0.014970346	Post-genotype refinement
13.71	0.012057943	Post-genotype refinement
13.71	0.012989672	Post-genotype refinement
13.73	0.014225729	Post-genotype refinement
13.78	0.016159179	Post-genotype refinement
13.8	0.016957448	Post-genotype refinement
13.83	0.015294904	Post-genotype refinement
13.89	0.011743247	Post-genotype refinement
13.93	0.014992212	Post-genotype refinement
13.95	0.016609174	Post-genotype refinement
13.99	0.012476271	Post-genotype refinement
14.06	0.011918283	Post-genotype refinement
14.08	0.014807382	Post-genotype refinement
14.1	0.016640669	Post-genotype refinement
14.11	0.013785432	Post-genotype refinement
14.11	0.014920046	Post-genotype refinement
14.15	0.010914149	Post-genotype refinement
14.19	0.015308857	Post-genotype refinement
14.21	0.014967662	Post-genotype refinement
14.23	0.013552046	Post-genotype refinement
14.25	0.017506781	Post-genotype refinement
14.32	0.011986035	Post-genotype refinement
14.34	0.010389083	Post-genotype refinement
14.38	0.016220286	Post-genotype refinement
14.38	0.010480589	Post-genotype refinement
14.43	0.01439372	Post-genotype refinement
14.49	0.012219687	Post-genotype refinement
14.52	0.011211156	Post-genotype refinement
14.54	0.010163218	Post-genotype refinement
14.58	0.011460539	Post-genotype refinement
14.61	0.011450005	Post-genotype refinement
14.65	0.010130721	Post-genotype refinement
14.67	0.009429592	Post-genotype refinement
14.7	0.016300767	Post-genotype refinement
14.74	0.008002518	Post-genotype refinement
14.81	0.01056747	Post-genotype refinement
14.82	0.011871658	Post-genotype refinement
14.84	0.013008134	Post-genotype refinement
14.86	0.00991012	Post-genotype refinement
14.93	0.009619229	Post-genotype refinement
14.94	0.011727434	Post-genotype refinement
14.95	0.008610882	Post-genotype refinement
14.97	0.009461738	Post-genotype refinement
15.03	0.009714091	Post-genotype refinement
15.07	0.009181162	Post-genotype refinement
15.15	0.008202577	Post-genotype refinement
15.16	0.008979915	Post-genotype refinement
15.26	0.00741476	Post-genotype refinement
15.32	0.007683118	Post-genotype refinement
15.34	0.008798157	Post-genotype refinement
15.41	0.009289678	Post-genotype refinement
15.42	0.007598754	Post-genotype refinement
15.53	0.008010386	Post-genotype refinement
15.54	0.009155723	Post-genotype refinement
15.57	0.008928055	Post-genotype refinement
15.59	0.015602049	Post-genotype refinement
15.64	0.009347843	Post-genotype refinement
15.64	0.009007305	Post-genotype refinement
15.67	0.007160155	Post-genotype refinement
15.73	0.007226897	Post-genotype refinement
15.79	0.006870726	Post-genotype refinement
15.84	0.006732036	Post-genotype refinement
15.85	0.008835039	Post-genotype refinement
15.91	0.00899238	Post-genotype refinement
15.96	0.008465829	Post-genotype refinement
16	0.007362697	Post-genotype refinement
16.04	0.00857179	Post-genotype refinement
16.14	0.007979054	Post-genotype refinement
16.22	0.005363651	Post-genotype refinement
16.33	0.008471531	Post-genotype refinement
16.41	0.005557021	Post-genotype refinement
16.51	0.00561308	Post-genotype refinement
16.62	0.010664755	Post-genotype refinement
16.65	0.009848073	Post-genotype refinement
16.67	0.006800848	Post-genotype refinement
16.72	0.006086824	Post-genotype refinement
16.83	0.00500552	Post-genotype refinement
16.84	0.00650507	Post-genotype refinement
16.96	0.006254982	Post-genotype refinement
17.03	0.006558991	Post-genotype refinement
17.03	0.005084824	Post-genotype refinement
17.11	0.004890148	Post-genotype refinement
17.15	0.005483457	Post-genotype refinement
17.22	0.006142881	Post-genotype refinement
17.25	0.004946649	Post-genotype refinement
17.32	0.005574083	Post-genotype refinement
17.35	0.00515944	Post-genotype refinement
17.38	0.007141867	Post-genotype refinement
17.44	0.006157921	Post-genotype refinement
